longitude,latitude,time,r,q,t,u,v,w,vo
-11.0,23.5,2022-10-03T21:00:00.000000000,20.36172,0.007017529,310.39938,-2.5488896,-2.7822795,-0.0016384027,-9.91336e-06
-11.0,23.5,2022-10-04T00:00:00.000000000,21.989607,0.0067658303,309.3343,-2.4779313,-3.5017505,-0.03990506,-1.1055406e-06
-11.0,23.5,2022-10-04T03:00:00.000000000,23.854849,0.006671094,307.73334,-2.7773757,-3.9735827,-0.031898726,-6.734112e-06
-11.0,23.5,2022-10-04T06:00:00.000000000,24.484056,0.0062299226,305.91003,-2.9682539,-4.4695926,-0.0106534865,-1.0001083e-06
-11.0,23.5,2022-10-04T09:00:00.000000000,18.76518,0.0056499676,305.35602,-4.316463,-4.6454306,-0.015066436,-1.3326305e-06
-11.0,23.5,2022-10-04T12:00:00.000000000,14.080804,0.005958298,311.09647,-7.3627067,-4.6952515,-0.050370086,-8.980674e-06
-11.0,23.5,2022-10-04T15:00:00.000000000,13.576985,0.006261385,313.0043,-6.500562,-4.1779943,-0.043435443,-1.725321e-05
-11.0,23.5,2022-10-04T18:00:00.000000000,13.53444,0.0060607255,313.2293,-4.1688695,-4.2739725,-0.01418381,-1.5809574e-05
-11.0,23.5,2022-10-04T21:00:00.000000000,15.972913,0.00589817,312.27213,-2.0358605,-4.4974337,-0.001008024,-1.1924726e-05
-11.0,23.5,2022-10-05T00:00:00.000000000,16.635714,0.005360515,310.35648,-2.5084434,-5.4498897,-0.02616184,-7.0341944e-06
-11.0,23.5,2022-10-05T03:00:00.000000000,15.025739,0.0042446516,306.3522,-3.2215753,-7.5841246,-0.047281016,1.5222079e-06
-11.0,23.5,2022-10-05T06:00:00.000000000,13.574746,0.003404609,303.98657,-3.481283,-7.2947245,-0.01727288,-9.378079e-06
-11.0,23.5,2022-10-05T09:00:00.000000000,11.2930155,0.00312809,303.7824,-3.9645095,-7.058076,-0.02275758,-1.23545715e-05
-11.0,23.5,2022-10-05T12:00:00.000000000,8.361924,0.0032850523,309.78424,-4.335622,-7.0023937,-0.05698954,-2.0781206e-05
-11.0,23.5,2022-10-05T15:00:00.000000000,9.311341,0.0041488665,312.4178,-3.0491464,-6.424326,-0.04747014,-2.5679847e-05
-11.0,23.5,2022-10-05T18:00:00.000000000,10.6190195,0.0045071873,312.14206,-0.8905922,-6.0770454,-0.013427308,-1.5193188e-05
-11.0,23.5,2022-10-05T21:00:00.000000000,13.247827,0.004437271,308.78415,-0.15333465,-6.751092,-0.0075644157,-4.5686525e-06
-11.0,23.5,2022-10-06T00:00:00.000000000,17.9434,0.0047886,304.73828,0.19649026,-6.7217855,-0.0357443,-6.0528423e-06
-11.0,23.5,2022-10-06T03:00:00.000000000,30.561205,0.006556781,300.695,0.6513336,-6.625807,-0.040724624,-1.2839689e-06
-11.0,23.5,2022-10-06T06:00:00.000000000,42.178097,0.007658311,297.6596,0.6484952,-6.08657,-0.0071861646,3.1848224e-06
-11.0,23.5,2022-10-06T09:00:00.000000000,40.491993,0.007931683,297.6037,-0.03838208,-7.118886,-0.022820642,5.634143e-06
-11.0,23.5,2022-10-06T12:00:00.000000000,22.493422,0.0066287946,304.35074,-0.49109653,-5.944434,-0.04538976,8.659296e-06
-11.0,23.5,2022-10-06T15:00:00.000000000,13.776273,0.0050245672,308.4161,-0.31157187,-4.092273,-0.033285607,8.245673e-06
-11.0,23.5,2022-10-06T18:00:00.000000000,13.250066,0.004813071,309.1834,0.55057263,-2.744914,-0.0045383475,5.609812e-06
-11.0,23.5,2022-10-06T21:00:00.000000000,16.682737,0.004932977,308.3329,1.9917374,-2.970573,0.0047918656,4.2878287e-06
-11.0,23.5,2022-10-07T00:00:00.000000000,23.153982,0.0056447242,304.42224,2.4863176,-4.897465,-0.018218508,1.2633359e-05
-11.0,23.5,2022-10-07T03:00:00.000000000,39.240288,0.0076957163,299.34897,2.4437423,-5.0513234,-0.01897507,2.4143421e-06
-11.0,23.5,2022-10-07T06:00:00.000000000,54.410767,0.008941623,296.1718,2.0158634,-4.209499,-0.008825233,4.273109e-07
-11.0,23.5,2022-10-07T09:00:00.000000000,52.794075,0.009320569,296.06387,1.859755,-4.186786,-0.0057361624,2.4630037e-06
-11.0,23.5,2022-10-07T12:00:00.000000000,30.352964,0.008201211,303.0125,2.027217,-2.3053188,-0.022568455,-5.86481e-07
-11.0,23.5,2022-10-07T15:00:00.000000000,18.191946,0.0061260974,307.15854,3.4939265,-1.2048656,-0.011599114,-6.6758247e-07
-11.0,23.5,2022-10-07T18:00:00.000000000,18.1606,0.0060149306,307.54868,3.4399981,-2.0657396,-0.005925288,-1.3569613e-06
-11.0,23.5,2022-10-07T21:00:00.000000000,23.317442,0.006354024,306.1129,2.5700483,-2.3859115,0.0067461827,-3.4413158e-06
-11.0,23.0,2022-10-01T00:00:00.000000000,41.745934,0.007927838,298.6636,1.9136834,-6.145916,-0.032213915,6.7209307e-06
-11.0,23.0,2022-10-01T03:00:00.000000000,55.848324,0.00877767,295.30698,1.302022,-5.6953306,-0.023640146,-5.290471e-06
-11.0,23.0,2022-10-01T06:00:00.000000000,67.901855,0.0091534695,292.7853,1.7753143,-4.983919,-0.016705504,-6.523244e-06
-11.0,23.0,2022-10-01T09:00:00.000000000,63.056263,0.009056635,292.7216,2.245059,-5.181004,-0.009770861,1.1100683e-07
-11.0,23.0,2022-10-01T12:00:00.000000000,43.196926,0.008169049,296.8741,1.5198641,-3.1933012,-0.033979107,1.1246496e-05
-11.0,23.0,2022-10-01T15:00:00.000000000,28.881819,0.006815471,300.83286,1.9896088,-1.9653655,-0.024207523,1.2795569e-05
-11.0,23.0,2022-10-01T18:00:00.000000000,25.984312,0.006334098,301.9487,1.3786569,-1.5235721,0.00838531,1.7313023e-05
-11.0,23.0,2022-10-01T21:00:00.000000000,29.531183,0.0065148314,301.60016,1.1395273,-0.049462914,0.01866115,2.1142598e-06
-11.0,23.0,2022-10-02T00:00:00.000000000,34.21108,0.0064421184,300.91217,0.933748,1.5176941,0.021813283,-1.2614101e-05
-11.0,23.0,2022-10-02T03:00:00.000000000,39.94115,0.0063770963,300.31393,0.68823195,2.24962,0.0055483677,-1.7601955e-05
-11.0,23.0,2022-10-02T06:00:00.000000000,43.481304,0.006295644,299.77423,0.20784375,1.2832433,0.018030772,-2.3262966e-05
-11.0,23.0,2022-10-02T09:00:00.000000000,33.915504,0.0061925175,299.401,-0.96084094,0.5960094,0.019102463,-1.552571e-05
-11.0,23.0,2022-10-02T12:00:00.000000000,20.641615,0.0057576387,303.54703,-2.1124957,2.6393945,-0.029881349,-1.5687916e-05
-11.0,23.0,2022-10-02T15:00:00.000000000,19.204058,0.006516929,307.15463,-1.3014412,3.694423,-0.0020797155,-2.0213482e-05
-11.0,23.0,2022-10-02T18:00:00.000000000,19.410063,0.0067916997,308.32117,-1.8435633,2.6034942,0.006178806,-1.896449e-05
-11.0,23.0,2022-10-02T21:00:00.000000000,23.07561,0.0069018174,308.1053,-2.8000824,-0.57111585,0.0040353634,-7.999325e-06
-11.0,23.0,2022-10-03T00:00:00.000000000,27.023294,0.0067969435,307.14813,-2.8596873,-1.3623873,-0.012670806,-6.515131e-06
-11.0,23.0,2022-10-03T03:00:00.000000000,29.280394,0.0066053728,305.62134,-2.9753497,-2.2481713,-0.017146816,-6.612458e-06
-11.0,23.0,2022-10-03T06:00:00.000000000,29.522226,0.006236565,303.7577,-3.2598927,-2.7837448,-0.011157801,-6.182609e-06
-11.0,23.0,2022-10-03T09:00:00.000000000,22.486704,0.005826856,302.80963,-4.0163093,-2.7852101,-0.012544742,-9.686274e-06
-11.0,23.0,2022-10-03T12:00:00.000000000,15.946046,0.006013532,308.97662,-6.154995,-1.5895115,-0.035996426,-1.38063215e-05
-11.0,23.0,2022-10-03T15:00:00.000000000,17.208944,0.007009139,310.65298,-6.0293984,-0.34985292,-0.026792279,-1.2557331e-05
-11.0,23.0,2022-10-03T18:00:00.000000000,18.18299,0.007215042,310.99243,-4.1617737,-1.3162297,-0.012922993,-1.3822543e-05
-11.0,23.0,2022-10-03T21:00:00.000000000,21.017801,0.0072807632,310.4033,-2.8937476,-2.455514,-0.0068709156,-8.104757e-06
-11.0,23.0,2022-10-04T00:00:00.000000000,22.551641,0.007056682,309.48123,-2.323242,-3.4636521,-0.04879402,-1.4542845e-06
-11.0,23.0,2022-10-04T03:00:00.000000000,24.580343,0.0068776966,307.8309,-2.6397164,-4.0387893,-0.0350508,-3.9928186e-06
-11.0,23.0,2022-10-04T06:00:00.000000000,25.635,0.006580203,306.24948,-2.902972,-4.345773,-0.012733867,-3.522421e-06
-11.0,23.0,2022-10-04T09:00:00.000000000,20.162432,0.0061163087,305.6083,-4.163193,-4.602204,-0.020046761,-2.296244e-07
-11.0,23.0,2022-10-04T12:00:00.000000000,14.976476,0.006369755,311.1446,-7.6068034,-4.6175895,-0.0549091,-6.7827737e-06
-11.0,23.0,2022-10-04T15:00:00.000000000,13.67999,0.006363113,313.12787,-6.9234743,-4.3252587,-0.049046207,-1.6758482e-05
-11.0,23.0,2022-10-04T18:00:00.000000000,13.615052,0.006161405,313.41266,-4.5030837,-4.5619073,-0.026603153,-1.5809574e-05
-11.0,23.0,2022-10-04T21:00:00.000000000,16.087114,0.0060565304,312.1876,-2.001091,-5.191994,-0.013049057,-8.323738e-06
-11.0,23.0,2022-10-05T00:00:00.000000000,16.58869,0.0055307606,310.60486,-2.7411869,-5.68141,-0.033600856,-8.567046e-06
-11.0,23.0,2022-10-05T03:00:00.000000000,16.384924,0.004820412,307.24826,-3.148488,-7.022908,-0.04778533,8.4904724e-07
-11.0,23.0,2022-10-05T06:00:00.000000000,14.0673685,0.0036853221,304.59003,-3.830398,-6.9892054,-0.019038072,-5.047163e-06
-11.0,23.0,2022-10-05T09:00:00.000000000,11.10045,0.0031836731,304.3481,-4.3888407,-6.7071323,-0.028998783,-9.91336e-06
-11.0,23.0,2022-10-05T12:00:00.000000000,8.232049,0.0032836534,310.05215,-5.2878838,-6.80311,-0.06953495,-2.1032627e-05
-11.0,23.0,2022-10-05T15:00:00.000000000,8.545533,0.003866755,312.75592,-4.510889,-6.0733824,-0.05736779,-2.4203766e-05
-11.0,23.0,2022-10-05T18:00:00.000000000,9.754701,0.004268074,312.7611,-1.9861897,-5.479196,-0.022946706,-1.7747943e-05
-11.0,23.0,2022-10-05T21:00:00.000000000,12.770879,0.0044816677,309.85318,-0.5457344,-6.563531,-0.015949002,-4.876844e-06
-11.0,23.0,2022-10-06T00:00:00.000000000,15.719888,0.0044718795,305.845,-0.110049985,-7.0514812,-0.040787686,-5.858196e-06
-11.0,23.0,2022-10-06T03:00:00.000000000,24.898306,0.0057010064,301.93048,0.27951166,-6.7891903,-0.04337238,-3.2628911e-06
-11.0,23.0,2022-10-06T06:00:00.000000000,37.6124,0.0071737915,298.70392,0.4143326,-6.0521355,-0.01008611,9.950356e-07
-11.0,23.0,2022-10-06T09:00:00.000000000,37.3952,0.0075943377,298.29425,-0.047606494,-7.0588083,-0.027927032,4.141844e-06
-11.0,23.0,2022-10-06T12:00:00.000000000,22.092607,0.0065749595,304.5549,-0.7153249,-5.8360014,-0.049991835,6.2748636e-06
-11.0,23.0,2022-10-06T15:00:00.000000000,14.264417,0.00518083,308.50586,-0.745837,-3.7984772,-0.03713118,5.650368e-06
-11.0,23.0,2022-10-06T18:00:00.000000000,13.606095,0.0049787723,309.31607,0.16526863,-2.3712583,-0.011851242,8.977125e-07
-11.0,23.0,2022-10-06T21:00:00.000000000,16.335665,0.0049057095,308.76074,1.5794692,-2.7441812,-0.00062977296,-6.270299e-07
-11.0,23.0,2022-10-07T00:00:00.000000000,19.266756,0.0048256554,306.0258,2.4657397,-4.205103,-0.019920697,1.3566049e-05
-11.0,23.0,2022-10-07T03:00:00.000000000,32.639168,0.006707101,300.57666,2.1698432,-5.008829,-0.021938017,3.784987e-06
-11.0,23.0,2022-10-07T06:00:00.000000000,49.18003,0.008419349,297.1134,1.7639613,-4.4373555,-0.010968676,-2.0868927e-06
-11.0,23.0,2022-10-07T09:00:00.000000000,48.288834,0.008929738,296.8585,1.4872231,-4.3882675,-0.006744852,-2.516738e-06
-11.0,23.0,2022-10-07T12:00:00.000000000,27.665941,0.007772624,303.72128,1.3786569,-2.6599255,-0.02887266,-6.060955e-06
-11.0,23.0,2022-10-07T15:00:00.000000000,17.105944,0.005949209,307.73334,2.7424774,-1.3550607,-0.016957691,-5.3796853e-06
-11.0,23.0,2022-10-07T18:00:00.000000000,16.738718,0.0057275747,308.18982,2.809888,-2.0825906,-0.009959986,-4.3658933e-06
